Simulator Parameters:
Command line = -b 200 -fs 5 -monitor GradingMonitor -pf long.pass
RandomSeed = 1449526030229
CanNetworkBitTime = 5000 ns
Effective Can Bitrate = 199999.99999999997
Run Time = null
Real time rate = null
Acceptance Test File = long.pass
Monitors: GradingMonitor  


[Elevator] @31440.000000000: Progress indicator
[Elevator] @31500.000000000: Progress indicator
[Elevator] @31560.000000000: Progress indicator
[Elevator] @31620.000000000: Progress indicator
[Elevator] @31680.000000000: Progress indicator
[Elevator] @31740.000000000: Progress indicator
[Elevator] @31800.000000000: Progress indicator
[Elevator] @31860.000000000: Progress indicator
[Elevator] @31920.000000000: Progress indicator
[Elevator] @31980.000000000: Progress indicator
[Elevator] @32040.000000000: Progress indicator
[Elevator] @32100.000000000: Progress indicator
[Elevator] @32160.000000000: Progress indicator
[Elevator] @32220.000000000: Progress indicator
[Elevator] @32280.000000000: Progress indicator
[Elevator] @32340.000000000: Progress indicator
[Elevator] @32400.000000000: Progress indicator
[Elevator] @32460.000000000: Progress indicator
[Elevator] @32520.000000000: Progress indicator
[Elevator] @32580.000000000: Progress indicator
[Elevator] @32640.000000000: Progress indicator
[Elevator] @32700.000000000: Progress indicator
[Elevator] @32760.000000000: Progress indicator
[Elevator] @32820.000000000: Progress indicator
[Elevator] @32880.000000000: Progress indicator
[Elevator] @32940.000000000: Progress indicator
[Elevator] @33000.000000000: Progress indicator
[Elevator] @33060.000000000: Progress indicator
[Elevator] @33120.000000000: Progress indicator
[Elevator] @33180.000000000: Progress indicator
[Elevator] @33240.000000000: Progress indicator
[Elevator] @33300.000000000: Progress indicator
[Elevator] @33360.000000000: Progress indicator
[Elevator] @33420.000000000: Progress indicator
[Elevator] @33480.000000000: Progress indicator
[Elevator] @33540.000000000: Progress indicator
[Elevator] @33600.000000000: Progress indicator
[Elevator] @33660.000000000: Progress indicator
[Elevator] @33720.000000000: Progress indicator
[Elevator] @33780.000000000: Progress indicator
[Elevator] @33840.000000000: Progress indicator
[Elevator] @33900.000000000: Progress indicator
[Elevator] @33960.000000000: Progress indicator
[Elevator] @34020.000000000: Progress indicator
[Elevator] @34080.000000000: Progress indicator
[Elevator] @34140.000000000: Progress indicator
[Elevator] @34200.000000000: Progress indicator
[Elevator] @34260.000000000: Progress indicator
[Elevator] @34320.000000000: Progress indicator
[Elevator] @34380.000000000: Progress indicator
[Elevator] @34440.000000000: Progress indicator
[Elevator] @34500.000000000: Progress indicator
[Elevator] @34560.000000000: Progress indicator
[Elevator] @34620.000000000: Progress indicator
[Elevator] @34680.000000000: Progress indicator
[Elevator] @34740.000000000: Progress indicator
[Elevator] @34800.000000000: Progress indicator
[Elevator] @34860.000000000: Progress indicator
[Elevator] @34920.000000000: Progress indicator
[Elevator] @34980.000000000: Progress indicator
[Elevator] @35040.000000000: Progress indicator
[Elevator] @35100.000000000: Progress indicator
[Elevator] @35160.000000000: Progress indicator
[Elevator] @35220.000000000: Progress indicator
[Elevator] @35280.000000000: Progress indicator
[Elevator] @35340.000000000: Progress indicator
[Elevator] @35400.000000000: Progress indicator
[Elevator] @35460.000000000: Progress indicator
[Elevator] @35520.000000000: Progress indicator
[Elevator] @35580.000000000: Progress indicator
[Elevator] @35640.000000000: Progress indicator
[Elevator] @35700.000000000: Progress indicator
[Elevator] @35760.000000000: Progress indicator
[Elevator] @35820.000000000: Progress indicator
[Elevator] @35880.000000000: Progress indicator
[Elevator] @35940.000000000: Progress indicator
[Elevator] @36000.000000000: Progress indicator
[Elevator] @36060.000000000: Progress indicator
[Elevator] @36120.000000000: Progress indicator
[Elevator] @36180.000000000: Progress indicator
[Elevator] @36240.000000000: Progress indicator
[Elevator] @36300.000000000: Progress indicator
[Elevator] @36360.000000000: Progress indicator
[Elevator] @36420.000000000: Progress indicator
[Elevator] @36480.000000000: Progress indicator
[Elevator] @36540.000000000: Progress indicator
[Elevator] @36600.000000000: Progress indicator
[Elevator] @36660.000000000: Progress indicator
[Elevator] @36720.000000000: Progress indicator
[Elevator] @36780.000000000: Progress indicator
[Elevator] @36840.000000000: Progress indicator
[Elevator] @36900.000000000: Progress indicator
[Elevator] @36960.000000000: Progress indicator
[Elevator] @37020.000000000: Progress indicator
[Elevator] @37080.000000000: Progress indicator
[Elevator] @37140.000000000: Progress indicator
[Elevator] @37200.000000000: Progress indicator
[Elevator] @37260.000000000: Progress indicator
[Elevator] @37320.000000000: Progress indicator
[Elevator] @37380.000000000: Progress indicator
[Elevator] @37440.000000000: Progress indicator
[Elevator] @37500.000000000: Progress indicator
[Elevator] @37560.000000000: Progress indicator
[Elevator] @37620.000000000: Progress indicator
[Elevator] @37680.000000000: Progress indicator
[Elevator] @37740.000000000: Progress indicator
[Elevator] @37800.000000000: Progress indicator
[Elevator] @37860.000000000: Progress indicator
[Elevator] @37920.000000000: Progress indicator
[Elevator] @37980.000000000: Progress indicator
